trend_category,post_count,engagement_rate
Gaming & esports,8.790153349475384,0.02121682808716707
Comedy & meme culture,9.311922922521076,0.021165796868727417
Digital activism & political,8.17018732562774,0.019260183339976086
Football & sports culture,7.639091646390916,0.01847506082725061
AI tools & productivity,7.139802631578948,0.018118009868421055
Skincare & self-care,7.199349064279902,0.01762506102522376
Modest fashion & heritage,6.8705321683876095,0.017194718030182684
Food & recipe trends,6.558941459502806,0.01642365677626303
Crypto & side hustles,6.5304174950298215,0.016113558648111332
Mental health awareness,6.411344704482349,0.01604315747719159
Sustainable fashion,6.361358124494745,0.01565751818916734
Streetwear & sneakers,6.132264529058117,0.015574589178356715
Privacy & data rights,6.080812101910828,0.015201910828025477
Study/productivity aesthetic,5.76030412164866,0.015087755102040818
Climate activism,5.119251119251119,0.013614733414733415
